,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),6.05E+00,2.085,,2.904,0.006,1.838,10.271,,,,,
GDPpc (2017),2.65E-06,0,0.385,1.75,0.088,0,0,0.42,0.27,0.198,0.264,3.786
GAV,-0.105,0.064,-0.328,-1.642,0.109,-0.234,0.024,-0.244,-0.254,-0.186,0.321,3.116
GICV,0.192,0.156,0.201,1.231,0.226,-0.124,0.509,0.363,0.193,0.139,0.479,2.086
GIGCV**,0.343,0.12,0.512,2.873,0.007**,0.102,0.585,0.292,0.418,0.325,0.403,2.482
GFOV**,-3.52E-01,0.139,-0.493,-2.527,0.016**,-0.634,-0.07,0.075,-0.375,-0.286,0.336,2.975
GGEV**,-3.61E-01,0.131,-0.623,-2.762,0.009**,-0.625,-0.097,-0.261,-0.404,-0.312,0.251,3.977
GHOV,-0.094,0.154,-0.1,-0.613,0.544,-0.406,0.217,0.183,-0.098,-0.069,0.481,2.08
GPOV,-0.076,0.239,-0.054,-0.316,0.754,-0.559,0.408,-0.056,-0.051,-0.036,0.435,2.301
GPDV**,-0.405,0.199,-0.4,-2.036,0.049**,-0.806,-0.003,0.193,-0.31,-0.23,0.332,3.01
GUAV,0.014,0.104,0.032,0.138,0.891,-0.196,0.225,0.107,0.022,0.016,0.233,4.291
