,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),5.95E+00,1.425,,4.176,<.001,3.071,8.832,,,,,
GDPpc (2017),1.35E-06,0,0.227,1.159,0.253,0,0,-0.588,0.18,0.074,0.107,9.357
GAV,0.011,0.047,0.027,0.228,0.821,-0.084,0.105,0.076,0.036,0.015,0.298,3.361
GICV,0.042,0.108,0.071,0.393,0.696,-0.175,0.26,0.69,0.062,0.025,0.125,8.021
GIGCV,-0.03,0.093,-0.05,-0.322,0.749,-0.219,0.159,-0.731,-0.051,-0.021,0.169,5.914
GFOV**,-2.92E-01,0.103,-0.37,-2.818,0.007**,-0.501,-0.082,0.19,-0.407,-0.181,0.238,4.195
GGEV**,-4.19E-01,0.093,-1.052,-4.514,<.001**,-0.606,-0.231,-0.839,-0.581,-0.29,0.076,13.213
GHOV,0.135,0.119,0.14,1.132,0.264,-0.106,0.376,-0.372,0.176,0.073,0.27,3.703
GPOV,0.066,0.183,0.059,0.362,0.72,-0.304,0.436,-0.75,0.057,0.023,0.153,6.532
GPDV*,-0.264,0.144,-0.269,-1.838,0.074*,-0.554,0.026,-0.496,-0.279,-0.118,0.192,5.214
GUAV,0.015,0.075,0.044,0.199,0.843,-0.137,0.167,0.717,0.031,0.013,0.083,12.053
