,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),2.56E+00,1.818,,1.407,0.167,-1.119,6.235,,,,,
GDPpc (2017),8.56E-07,0,0.139,0.699,0.488,0,0,0.108,0.111,0.07,0.25,3.993
GAV,0.03,0.057,0.098,0.526,0.602,-0.085,0.144,-0.12,0.084,0.052,0.288,3.471
GICV,0.116,0.132,0.123,0.872,0.388,-0.152,0.383,0.299,0.138,0.087,0.501,1.996
GIGCV,-0.043,0.112,-0.07,-0.387,0.701,-0.27,0.183,-0.2,-0.062,-0.038,0.305,3.277
GFOV,-2.00E-02,0.123,-0.031,-0.162,0.872,-0.268,0.228,0.117,-0.026,-0.016,0.269,3.72
GGEV**,-4.16E-01,0.119,-0.801,-3.5,0.001**,-0.656,-0.175,-0.517,-0.489,-0.348,0.189,5.297
GHOV**,0.501,0.143,0.542,3.497,0.001**,0.211,0.791,0.452,0.489,0.348,0.412,2.427
GPOV,0.057,0.212,0.043,0.27,0.789,-0.372,0.487,-0.099,0.043,0.027,0.39,2.561
GPDV,-0.062,0.168,-0.063,-0.368,0.715,-0.401,0.278,0.158,-0.059,-0.037,0.339,2.949
GUAV,-0.102,0.085,-0.262,-1.191,0.241,-0.274,0.071,0.308,-0.187,-0.118,0.204,4.902
