,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),9.06E-01,2.057,,0.44,0.662,-3.255,5.067,,,,,
GDPpc (2017),2.26E-06,0,0.367,1.538,0.132,0,0,-0.091,0.239,0.172,0.218,4.577
GAV,0.008,0.062,0.029,0.136,0.893,-0.118,0.135,-0.166,0.022,0.015,0.269,3.712
GICV,-0.123,0.157,-0.13,-0.788,0.435,-0.44,0.193,0.221,-0.125,-0.088,0.455,2.196
GIGCV,-0.095,0.114,-0.149,-0.836,0.408,-0.325,0.135,-0.078,-0.133,-0.093,0.393,2.547
GFOV**,-2.85E-01,0.128,-0.436,-2.234,0.031**,-0.543,-0.027,0.037,-0.337,-0.249,0.327,3.061
GGEV,-8.60E-02,0.13,-0.155,-0.667,0.509,-0.349,0.176,-0.347,-0.106,-0.074,0.229,4.364
GHOV,0.144,0.146,0.167,0.99,0.328,-0.151,0.439,0.356,0.157,0.11,0.437,2.288
GPOV**,0.6,0.235,0.456,2.558,0.015**,0.126,1.075,0.135,0.379,0.285,0.391,2.555
GPDV,-0.147,0.196,-0.146,-0.751,0.457,-0.543,0.249,0.117,-0.119,-0.084,0.328,3.046
GUAV**,0.321,0.098,0.781,3.279,0.002**,0.123,0.518,0.548,0.465,0.366,0.219,4.559
