,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),5.45E+00,3.162,,1.724,0.093,-0.956,11.858,,,,,
GDPpc (2017),1.42E-06,0,0.25,0.562,0.577,0,0,-0.371,0.092,0.073,0.086,11.591
GAV,-0.096,0.101,-0.28,-0.955,0.346,-0.301,0.108,-0.372,-0.155,-0.124,0.198,5.06
GICV,-0.033,0.253,-0.058,-0.13,0.897,-0.545,0.479,0.53,-0.021,-0.017,0.085,11.806
GIGCV,-0.237,0.199,-0.401,-1.194,0.24,-0.639,0.165,-0.438,-0.193,-0.156,0.15,6.647
GFOV,2.40E-02,0.226,0.033,0.107,0.916,-0.434,0.482,0.414,0.018,0.014,0.182,5.498
GGEV,-1.71E-01,0.208,-0.459,-0.82,0.417,-0.592,0.251,-0.513,-0.134,-0.107,0.054,18.457
GHOV,-0.058,0.244,-0.062,-0.237,0.814,-0.553,0.437,-0.011,-0.039,-0.031,0.25,3.999
GPOV,0.271,0.375,0.247,0.722,0.475,-0.489,1.032,-0.332,0.118,0.094,0.146,6.853
GPDV,-0.092,0.321,-0.094,-0.286,0.776,-0.742,0.558,-0.293,-0.047,-0.037,0.158,6.325
GUAV,0.011,0.171,0.036,0.062,0.951,-0.336,0.357,0.528,0.01,0.008,0.052,19.077
